signal_id,market_id,event_slug,market_question,signal_time_utc,signal_type,price_t0,price_t1,best_bid_t0,best_bid_t1,best_ask_t0,best_ask_t1,snapshot_1h_done,snapshot_24h_done
f2aec732-e4f5-4ac2-b0a6-a8efcbde7606,537486,how-much-revenue-will-the-us-raise-from-tariffs-in-2025,Will the U.S. collect between $200b and $500b in revenue in 2025?,2026-01-21 02:50:59+00:00,outcome_1,0.68,0.335,0.3,0.33,0.34,0.34,True,True
b8013814-a3b3-4c41-b42c-03e47da533e7,1065982,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 21, 2026?",2026-01-21 04:57:14+00:00,outcome_1,0.345,0.175,0.28,0.17,0.41,0.18,True,True
9ce09590-b92e-42ba-bca7-077761eebfe3,1065911,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 21, 2026?",2026-01-21 07:04:45+00:00,outcome_1,0.575,0.996,0.56,0.992,0.59,1.0,True,True
4e78c77d-acc9-4650-b612-ed7fc4cdc0f2,1065912,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 22, 2026?",2026-01-21 07:39:41+00:00,outcome_1,0.415,0.58,0.41,0.54,0.42,0.62,True,True
b88c95e1-1c76-4163-97e8-64964851f406,1065982,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 21, 2026?",2026-01-21 11:58:18+00:00,outcome_1,0.325,0.73,0.29,0.62,0.36,0.87,True,True
f8c67fb6-a31b-4c7c-bde2-1d4f98a53724,613808,oscars-2026-best-picture-nominations,Will It Was Just an Accident be nominated for Best Picture at the 98th Academy Awards?,2026-01-21 12:40:13+00:00,outcome_1,0.645,0.475,0.643,0.32,0.647,0.63,True,True
ab544cdb-1f3f-4ca5-8d6d-5342eacb937b,613808,oscars-2026-best-picture-nominations,Will It Was Just an Accident be nominated for Best Picture at the 98th Academy Awards?,2026-01-21 14:04:34+00:00,outcome_1,0.45,0.5445,0.25,0.46,0.65,0.629,True,True
7bfcfd04-c038-42dd-9ab5-a9044ae98422,1183881,bitcoin-price-on-january-21,"Will the price of Bitcoin be between $90,000 and $92,000 on January 21?",2026-01-21 14:44:46+00:00,outcome_1,0.085,0.355,0.08,0.34,0.09,0.37,True,True
56cde1e6-0a81-4f29-958c-4a3d61b1cf4c,1183925,bitcoin-above-on-january-21,"Will the price of Bitcoin be above $90,000 on January 21?",2026-01-21 14:44:46+00:00,outcome_1,0.095,0.37,0.09,0.36,0.1,0.38,True,True
1c06a262-389f-46d0-913c-abb92e106ab6,1065915,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 25, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.445,0.515,0.11,0.4,0.78,0.63,True,True
4b4b97b4-572c-442b-8a42-1d6393927d49,1065916,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 26, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.43,0.505,0.01,0.36,0.85,0.65,True,True
c68d3623-b006-477f-a1df-812ddc9214b7,1065917,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 27, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.425,0.51,0.01,0.38,0.84,0.64,True,True
66f9f5d0-65eb-437c-a9c1-1ffd4dafa173,1065918,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 28, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.425,0.505,0.01,0.36,0.84,0.65,True,True
a226f061-d584-4f04-a427-2d935a7dec73,1065919,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 29, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.425,0.505,0.01,0.36,0.84,0.65,True,True
