market_id,tags,event_id,event_slug,event_title,event_creationDate,event_endDate,event_startDate,event_volume,market_slug,market_question,market_startDate,market_endDate,market_volume,market_outcomes,market_outcomePrices,market_active,market_closed,market_bestBid,market_bestAsk,created_at
516818,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-nvidia-be-the-largest-company-in-the-world-by-market-cap-on-december-31-2025,Will NVIDIA be the largest company in the world by market cap on December 31?,2024-12-30T18:01:45.528784Z,2025-12-31T12:00:00Z,7708730.163844,"[""Yes"", ""No""]","[""0.989"", ""0.011""]",True,False,0.988,0.99,2025-12-23T19:15:03
516829,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-company-d-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Company D be the largest company in the world by market cap on December 31?,2024-12-30T18:09:10.636855Z,2025-12-31T12:00:00Z,0,"[""Yes"", ""No""]",,False,False,0.0,1.0,2025-12-23T19:15:03
516830,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-company-e-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Company E be the largest company in the world by market cap on December 31?,2024-12-30T18:09:46.223915Z,2025-12-31T12:00:00Z,0,"[""Yes"", ""No""]",,False,False,0.0,1.0,2025-12-23T19:15:03
516820,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-microsoft-be-the-largest-company-in-the-world-by-market-cap-on-december-31-2025,Will Microsoft be the largest company in the world by market cap on December 31?,2024-12-30T18:02:29.622046Z,2025-12-31T12:00:00Z,3047674.403588,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",True,False,,0.001,2025-12-23T19:15:03
516836,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-company-j-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Company J be the largest company in the world by market cap on December 31?,2024-12-30T18:12:06.011448Z,2025-12-31T12:00:00Z,0,"[""Yes"", ""No""]",,False,False,0.0,1.0,2025-12-23T19:15:03
516821,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-apple-be-the-largest-company-in-the-world-by-market-cap-on-december-31-2025,Will Apple be the largest company in the world by market cap on December 31?,2024-12-30T18:03:15.651603Z,2025-12-31T12:00:00Z,3490866.555541,"[""Yes"", ""No""]","[""0.0075"", ""0.9925""]",True,False,0.007,0.008,2025-12-23T19:15:03
516822,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-alphabet-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Alphabet be the largest company in the world by market cap on December 31?,2024-12-30T18:04:40.520652Z,2025-12-31T12:00:00Z,3473476.684832,"[""Yes"", ""No""]","[""0.0025"", ""0.9975""]",True,False,0.002,0.003,2025-12-23T19:15:03
516825,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-another-company-be-the-largest-company-in-the-world-by-market-cap-on-december-31-2025,Will another company be the largest company in the world by market cap on December 31?,2024-12-30T18:12:30.199567Z,2025-12-31T12:00:00Z,0,"[""Yes"", ""No""]",,False,False,0.0,1.0,2025-12-23T19:15:03
516824,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-tesla-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Tesla be the largest company in the world by market cap on December 31?,2024-12-30T18:07:06.352395Z,2025-12-31T12:00:00Z,11913264.722878,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",True,False,,0.001,2025-12-23T19:15:03
516826,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-company-a-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Company A be the largest company in the world by market cap on December 31?,2024-12-30T18:07:26.563901Z,2025-12-31T12:00:00Z,0,"[""Yes"", ""No""]",,False,False,0.0,1.0,2025-12-23T19:15:03
516827,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-company-b-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Company B be the largest company in the world by market cap on December 31?,2024-12-30T18:07:51.530267Z,2025-12-31T12:00:00Z,0,"[""Yes"", ""No""]",,False,False,0.0,1.0,2025-12-23T19:15:03
516828,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-company-c-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Company C be the largest company in the world by market cap on December 31?,2024-12-30T18:08:15.389786Z,2025-12-31T12:00:00Z,0,"[""Yes"", ""No""]",,False,False,0.0,1.0,2025-12-23T19:15:03
516831,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-company-f-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Company F be the largest company in the world by market cap on December 31?,2024-12-30T18:10:06.42939Z,2025-12-31T12:00:00Z,0,"[""Yes"", ""No""]",,False,False,0.0,1.0,2025-12-23T19:15:03
516832,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-company-g-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Company G be the largest company in the world by market cap on December 31?,2024-12-30T18:10:46.38Z,2025-12-31T12:00:00Z,,"[""Yes"", ""No""]","[""0.495"", ""0.505""]",False,False,,0.99,2025-12-23T19:15:03
516833,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-company-h-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Company H be the largest company in the world by market cap on December 31?,2024-12-30T18:11:31.210297Z,2025-12-31T12:00:00Z,0,"[""Yes"", ""No""]",,False,False,0.0,1.0,2025-12-23T19:15:03
516835,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-company-i-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Company I be the largest company in the world by market cap on December 31?,2024-12-30T18:11:40.338319Z,2025-12-31T12:00:00Z,0,"[""Yes"", ""No""]",,False,False,0.0,1.0,2025-12-23T19:15:03
516845,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-amazon-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Amazon be the largest company in the world by market cap on December 31?,2024-12-30T18:06:00.95815Z,2025-12-31T12:00:00Z,4990927.522195,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",True,False,,0.001,2025-12-23T19:15:03
516846,"2025-predictions,ai,best-of-2025,big-tech,business,deepseek,economy",16087,largest-company-end-of-2025,Largest Company end of 2025?,2024-12-30T18:12:03.686951Z,2025-12-31T12:00:00Z,2024-12-30T18:12:03.686955Z,59755942.596312,will-saudi-aramco-be-the-largest-company-in-the-world-by-market-cap-on-december-31,Will Saudi Aramco be the largest company in the world by market cap on December 31?,2024-12-30T18:06:41.169257Z,2025-12-31T12:00:00Z,25131463.275934,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",True,False,,0.001,2025-12-23T19:15:03
516710,"2025-predictions,business,economic-policy,economy,xtrd-1",16092,us-recession-in-2025,US recession in 2025?,2025-01-08T01:35:22.579136Z,2026-02-28T12:00:00Z,2025-01-08T01:35:22.579138Z,11138603.338177,us-recession-in-2025,US recession in 2025?,2025-01-08T01:33:54.924Z,2026-02-28T12:00:00Z,11138625.738177,"[""Yes"", ""No""]","[""0.0065"", ""0.9935""]",True,False,0.006,0.007,2025-12-23T19:15:03
516711,"2025-predictions,business,economic-policy,economy,fed,fed-rates,jerome-powell",16093,fed-emergency-rate-cut-in-2025,Fed emergency rate cut in 2025?,2024-12-29T22:42:17.114045Z,2025-12-31T12:00:00Z,2024-12-29T22:42:17.114047Z,1494156.2668,fed-emergency-rate-cut-in-2025,Fed emergency rate cut in 2025?,2024-12-29T22:41:48.24Z,2025-12-31T12:00:00Z,1494169.9638,"[""Yes"", ""No""]","[""0.003"", ""0.997""]",True,False,0.002,0.004,2025-12-23T19:15:03
516960,"2025-predictions,ai,best-of-2025,business,deepseek,gemini-3,grok,tech",16095,which-company-has-best-ai-model-end-of-2025,Which company has best AI model end of 2025?,2024-12-31T20:23:45.266855Z,2025-12-31T12:00:00Z,2024-12-31T20:23:45.266865Z,31998566.488162,which-company-has-best-ai-model-end-of-2025,Will Google have the top AI model on December 31?,2024-12-31T20:17:31.209Z,2025-12-31T12:00:00Z,3184927.69884,"[""Yes"", ""No""]","[""0.975"", ""0.025""]",True,False,0.973,0.977,2025-12-23T19:15:03
516961,"2025-predictions,ai,best-of-2025,business,deepseek,gemini-3,grok,tech",16095,which-company-has-best-ai-model-end-of-2025,Which company has best AI model end of 2025?,2024-12-31T20:23:45.266855Z,2025-12-31T12:00:00Z,2024-12-31T20:23:45.266865Z,31998566.488162,will-openai-have-the-top-ai-model-on-december-31,Will OpenAI have the top AI model on December 31?,2024-12-31T20:18:17.148Z,2025-12-31T12:00:00Z,2378440.49136,"[""Yes"", ""No""]","[""0.005"", ""0.995""]",True,False,0.004,0.006,2025-12-23T19:15:03
516967,"2025-predictions,ai,best-of-2025,business,deepseek,gemini-3,grok,tech",16095,which-company-has-best-ai-model-end-of-2025,Which company has best AI model end of 2025?,2024-12-31T20:23:45.266855Z,2025-12-31T12:00:00Z,2024-12-31T20:23:45.266865Z,31998566.488162,will-alibaba-have-the-top-ai-model-on-december-31,Will Alibaba have the top AI model on December 31?,2024-12-31T20:22:02.18Z,2025-12-31T12:00:00Z,1904658.239622,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",True,False,,0.001,2025-12-23T19:15:03
516962,"2025-predictions,ai,best-of-2025,business,deepseek,gemini-3,grok,tech",16095,which-company-has-best-ai-model-end-of-2025,Which company has best AI model end of 2025?,2024-12-31T20:23:45.266855Z,2025-12-31T12:00:00Z,2024-12-31T20:23:45.266865Z,31998566.488162,will-xai-have-the-top-ai-model-on-december-31,Will xAI have the top AI model on December 31?,2024-12-31T20:18:51.41Z,2025-12-31T12:00:00Z,1945684.204977,"[""Yes"", ""No""]","[""0.0145"", ""0.9855""]",True,False,0.014,0.015,2025-12-23T19:15:03
516963,"2025-predictions,ai,best-of-2025,business,deepseek,gemini-3,grok,tech",16095,which-company-has-best-ai-model-end-of-2025,Which company has best AI model end of 2025?,2024-12-31T20:23:45.266855Z,2025-12-31T12:00:00Z,2024-12-31T20:23:45.266865Z,31998566.488162,will-anthropic-have-the-top-ai-model-on-december-31,Will Anthropic have the top AI model on December 31?,2024-12-31T20:19:31.627Z,2025-12-31T12:00:00Z,2135566.180518,"[""Yes"", ""No""]","[""0.0045"", ""0.9955""]",True,False,0.003,0.006,2025-12-23T19:15:03
516964,"2025-predictions,ai,best-of-2025,business,deepseek,gemini-3,grok,tech",16095,which-company-has-best-ai-model-end-of-2025,Which company has best AI model end of 2025?,2024-12-31T20:23:45.266855Z,2025-12-31T12:00:00Z,2024-12-31T20:23:45.266865Z,31998566.488162,will-meta-have-the-top-ai-model-on-december-31,Will Meta have the top AI model on December 31?,2024-12-31T20:19:52.526Z,2025-12-31T12:00:00Z,1650049.959352,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",True,False,,0.001,2025-12-23T19:15:03
516968,"2025-predictions,ai,best-of-2025,business,deepseek,gemini-3,grok,tech",16095,which-company-has-best-ai-model-end-of-2025,Which company has best AI model end of 2025?,2024-12-31T20:23:45.266855Z,2025-12-31T12:00:00Z,2024-12-31T20:23:45.266865Z,31998566.488162,will-mistral-ai-have-the-top-ai-model-on-december-31,Will Mistral AI have the top AI model on December 31?,2024-12-31T20:22:12.346Z,2025-12-31T12:00:00Z,1411825.466015,"[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",True,False,,0.001,2025-12-23T19:15:03
516975,"2025-predictions,ai,best-of-2025,business,deepseek,gemini-3,grok,tech",16095,which-company-has-best-ai-model-end-of-2025,Which company has best AI model end of 2025?,2024-12-31T20:23:45.266855Z,2025-12-31T12:00:00Z,2024-12-31T20:23:45.266865Z,31998566.488162,will-company-i-have-the-top-ai-model-on-december-31,Will Company I have the top AI model on December 31?,2024-12-31T20:25:42.33Z,2025-12-31T12:00:00Z,0,"[""Yes"", ""No""]",,False,False,0.0,1.0,2025-12-23T19:15:03
516965,"2025-predictions,ai,best-of-2025,business,deepseek,gemini-3,grok,tech",16095,which-company-has-best-ai-model-end-of-2025,Which company has best AI model end of 2025?,2024-12-31T20:23:45.266855Z,2025-12-31T12:00:00Z,2024-12-31T20:23:45.266865Z,31998566.488162,will-deepseek-have-the-top-ai-model-on-december-31,Will DeepSeek have the top AI model on December 31?,2024-12-31T20:21:07.08Z,2025-12-31T12:00:00Z,1963280.240487,"[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",True,False,0.001,0.002,2025-12-23T19:15:03
